821e54d2-ec63-4175-8827-eede52dddda4,AnimatioN,Not All Sold,2013,10
ecd9a424-e18b-43cd-a6cf-037086cd9a7a,LOUNA,Time X,2012,14
5d401d5c-2828-45ba-868b-9ed492c2757b,Linkin Park,Meteora,2003,14
2a989975-5782-4b17-8912-1e40c45067a2,Lumen,Freedom,2005,13
26e01bad-8a70-4765-aa1a-7632c309fb22,System of a Down,Toxicity,2001,14
cca7f11e-ae7c-4311-bd47-e7313572d3d3,Picnic,Hieroglyph,1987,8
3a15a1ac-a37a-4324-b9f0-a88d2a9ea923,Aria,Chimera,2001,10
94031b01-8e8c-4601-a434-f59db469f6a7,Green Day,American Idiot,2004,13
15a1c543-f458-418a-940a-354fa1f87d0c,Foo Fighters,Echoes Silence Patience & Grace,2007,13
37bbafac-8f0b-42ab-b40f-12c5ef061581,Elysium,Poisons,2007,14
